Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,1.36,0.52,0,0.2,2.08
Rayman Raving Rabbids: TV Party,Wii,2008,Misc,Ubisoft,0.73,1.09,0,0.23,2.04
Call of Duty: World at War,Wii,2008,Shooter,Activision,1.2,0.59,0,0.19,1.97
Mario Super Sluggers,Wii,2008,Sports,Nintendo,1.51,0,0.29,0.12,1.93
Monopoly,Wii,2008,Misc,Electronic Arts,0.87,0.85,0,0.2,1.92
Toy Story Mania!,Wii,2009,Misc,Disney Interactive Studios,1.06,0.67,0,0.18,1.92
Star Wars: The Force Unleashed,Wii,2008,Action,LucasArts,1.14,0.57,0,0.19,1.91
Game Party 2,Wii,2008,Misc,Midway Games,1.3,0.44,0,0.17,1.91
LEGO Star Wars III: The Clone Wars,Wii,2011,Action,LucasArts,1.08,0.66,0,0.17,1.91
GoldenEye 007 (2010),Wii,2010,Action,Activision,0.85,0.71,0.13,0.16,1.86
Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,0.83,0.82,0,0.2,1.85
Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,0.91,0.74,0.07,0.09,1.82
The Legend of Zelda: The Wind Waker,WiiU,2013,Action,Nintendo,0.93,0.57,0.14,0.13,1.77
High School Musical: Sing It!,Wii,2007,Misc,Disney Interactive Studios,1.16,0.45,0,0.16,1.77
Wii Party U,WiiU,2013,Misc,Nintendo,0.31,0.54,0.84,0.08,1.77
The Beatles: Rock Band,Wii,2009,Misc,MTV Games,1.19,0.4,0,0.16,1.74
Sonic Colors,Wii,2010,Platform,Sega,0.96,0.61,0.01,0.16,1.74
Disney Infinity,Wii,2013,Action,Disney Interactive Studios,1.15,0.44,0,0.14,1.73
Game Party 3,Wii,2009,Puzzle,Warner Bros. Interactive Entertainment,1.43,0.16,0,0.12,1.71
Cabela's Big Game Hunter 2010,Wii,2009,Sports,Activision Value,1.58,0,0,0.12,1.7
We Ski,Wii,2008,Sports,Namco Bandai Games,0.99,0.42,0.14,0.15,1.7
Kirby's Return to Dreamland,Wii,2011,Platform,Nintendo,0.62,0.21,0.79,0.08,1.7
Star Wars The Clone Wars: Lightsaber Duels,Wii,2008,Action,LucasArts,1.23,0.3,0,0.14,1.68
MySims,Wii,2007,Simulation,Electronic Arts,0.91,0.55,0.04,0.17,1.68
Shaun White Snowboarding: Road Trip,Wii,2008,Sports,Ubisoft,0.94,0.57,0,0.17,1.67
Big Beach Sports,Wii,2008,Sports,THQ,0.45,1.02,0,0.2,1.67
Go Vacation,Wii,2011,Misc,Namco Bandai Games,0.48,0.68,0.33,0.16,1.65
LEGO Pirates of the Caribbean: The Video Game,Wii,2011,Action,Disney Interactive Studios,0.76,0.72,0,0.16,1.64
Pokemon Battle Revolution,Wii,2006,Role-Playing,Nintendo,0.8,0.38,0.3,0.13,1.61
Dance Dance Revolution: Hottest Party 2,Wii,2008,Simulation,Konami Digital Entertainment,0.95,0.48,0.01,0.15,1.6
Carnival Games: Mini Golf,Wii,2008,Sports,Take-Two Interactive,0.87,0.56,0,0.15,1.58
Guitar Hero 5,Wii,2009,Misc,Activision,0.94,0.49,0,0.15,1.58
Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.79,0.44,0.19,0.14,1.55
Mario Party 10,WiiU,2015,Misc,Nintendo,0.69,0.5,0.24,0.11,1.55
Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,0.68,0.43,0.29,0.14,1.54
MySims Kingdom,Wii,2008,Simulation,Electronic Arts,0.71,0.65,0.01,0.17,1.53
Call of Duty: Modern Warfare: Reflex Edition,Wii,2009,Shooter,Activision,0.95,0.43,0,0.14,1.53
Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.73,0.52,0.15,0.12,1.52
Sonic & Sega All-Stars Racing,Wii,2010,Racing,Sega,0.65,0.71,0,0.15,1.51
Disney Sing It: Pop Hits,Wii,2009,Misc,Disney Interactive Studios,1.08,0.28,0,0.13,1.49
The Sims 3,Wii,2010,Simulation,Electronic Arts,0.61,0.73,0,0.15,1.49
New Play Control! Mario Power Tennis,Wii,2009,Sports,Nintendo,0.37,0.69,0.28,0.14,1.48
The House of the Dead 2 & 3 Return,Wii,2008,Shooter,Sega,0.78,0.5,0.03,0.15,1.47
LEGO Batman 2: DC Super Heroes,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.94,0.4,0,0.11,1.46
Smarty Pants,Wii,2007,Misc,Electronic Arts,0.53,0.76,0,0.16,1.45
Hasbro Family Game Night,Wii,2008,Puzzle,Electronic Arts,0.97,0.34,0,0.13,1.45
Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft,1.23,0.07,0.02,0.11,1.44
LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Action,Activision,0.91,0.39,0,0.13,1.43
Tiger Woods PGA Tour 09 All-Play,Wii,2008,Sports,Electronic Arts,0.81,0.48,0,0.14,1.43
Toy Story 3: The Video Game,Wii,2010,Action,Disney Interactive Studios,0.64,0.63,0,0.14,1.41
Metroid: Other M,Wii,2010,Action,Nintendo,0.87,0.31,0.13,0.1,1.41
Call of Duty: Black Ops,Wii,2010,Shooter,Activision,0.82,0.47,0,0.12,1.4
Hannah Montana: Spotlight World Tour,Wii,2007,Action,Disney Interactive Studios,0.87,0.38,0,0.13,1.39
Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts,0.71,0.53,0,0.13,1.38
Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios,1.24,0.04,0,0.09,1.38
LEGO Harry Potter: Years 5-7,Wii,N/A,Action,Warner Bros. Interactive Entertainment,0.76,0.47,0,0.13,1.36
Deal or No Deal,Wii,2009,Misc,Zoo Games,1.22,0,0,0.09,1.31
High School Musical 3: Senior Year DANCE!,Wii,2008,Misc,Disney Interactive Studios,0.68,0.49,0,0.13,1.31
Gold's Gym: Cardio Workout,Wii,2008,Sports,Ubisoft,1.11,0.04,0.06,0.09,1.31
EA Playground,Wii,2007,Sports,Electronic Arts,0.69,0.48,0,0.13,1.3
EA Sports Active 2,Wii,2010,Sports,Electronic Arts,0.78,0.4,0,0.11,1.3
Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,0.46,0.66,0.02,0.15,1.29
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.61,0.47,0.11,0.1,1.29
Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.04,0.14,0,0.1,1.29
Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,0.96,0.2,0,0.11,1.27
Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,0.39,0.73,0,0.15,1.27
Hyrule Warriors,WiiU,2014,Action,Nintendo,0.61,0.42,0.13,0.1,1.26
Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.68,0,0.12,1.26
Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,0.55,0.55,0,0.13,1.23
Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.72,0.38,0,0.12,1.23
The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,0.45,0.64,0,0.14,1.23
Just Dance 2016,Wii,2015,Misc,Ubisoft,0.52,0.59,0,0.1,1.2
Disney Sing It,Wii,2008,Misc,Disney Interactive Studios,0.77,0.31,0,0.12,1.2
Pok̩Park Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.56,0.36,0.19,0.09,1.19
Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19
Wario Land: Shake It!,Wii,2008,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17
EA Sports Active: More Workouts,Wii,2009,Sports,Electronic Arts,0.78,0.28,0,0.1,1.16
Sonic and the Black Knight,Wii,2009,Platform,Sega,0.69,0.35,0.01,0.11,1.15
Rabbids Go Home,Wii,2009,Platform,Ubisoft,0.26,0.75,0,0.14,1.14
Need for Speed: ProStreet,Wii,2007,Racing,Electronic Arts,0.54,0.46,0,0.12,1.11
Pikmin 3,WiiU,2013,Strategy,Nintendo,0.45,0.31,0.29,0.06,1.11
NERF N-Strike,Wii,2008,Shooter,Electronic Arts,0.92,0.09,0,0.09,1.1
Tiger Woods PGA Tour 10,Wii,2009,Sports,Electronic Arts,0.61,0.37,0,0.11,1.09
Endless Ocean,Wii,2007,Adventure,Nintendo,0.44,0.47,0.09,0.09,1.09
The Biggest Loser,Wii,2009,Sports,THQ,0.87,0.12,0,0.09,1.08
Resident Evil: The Darkside Chronicles,Wii,2009,Action,Capcom,0.48,0.32,0.2,0.09,1.08
FIFA Soccer 11,Wii,2010,Sports,Electronic Arts,0.26,0.69,0,0.12,1.08
LEGO City Undercover,WiiU,2013,Platform,Nintendo,0.47,0.4,0.13,0.08,1.08
Disney Universe,Wii,2011,Action,Disney Interactive Studios,0.67,0.3,0,0.1,1.07
Sega Superstars Tennis,Wii,2008,Sports,Sega,0.28,0.65,0,0.13,1.06
Skylanders: Trap Team,Wii,2014,Action,Activision,0.42,0.54,0,0.08,1.05
Dance on Broadway,Wii,2010,Misc,Ubisoft,0.27,0.66,0,0.12,1.05
MySims Agents,Wii,2009,Adventure,Electronic Arts,0.62,0.32,0,0.1,1.05
Guinness World Records: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0,0.11,1.04
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,0.33,0.37,0.26,0.09,1.04
Tiger Woods PGA Tour 08,Wii,2007,Sports,Electronic Arts,0.94,0.02,0,0.08,1.03
Epic Mickey 2: The Power of Two,Wii,2012,Action,Disney Interactive Studios,0.72,0.23,0,0.08,1.03
The Simpsons Game,Wii,2007,Action,Electronic Arts,0.45,0.47,0,0.11,1.03
Rock Band 2,Wii,2008,Misc,MTV Games,0.94,0.01,0,0.08,1.03
FIFA Soccer 08,Wii,2007,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02
Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,0.45,0.46,0,0.11,1.02
ZombiU,WiiU,2012,Action,Ubisoft,0.53,0.36,0.05,0.08,1.02
Wall-E,Wii,2008,Platform,THQ,0.51,0.4,0,0.11,1.02
Bayonetta 2,WiiU,2014,Action,Nintendo,0.34,0.28,0.1,0.3,1.01
Guitar Hero: Warriors of Rock,Wii,2010,Misc,Activision,0.48,0.44,0,0.09,1.01
NERF N-Strike Elite,Wii,2009,Shooter,Electronic Arts,0.93,0,0,0.07,1
Wheel of Fortune,Wii,2010,Misc,THQ,0.89,0.04,0,0.06,1
Band Hero,Wii,2009,Misc,Activision,0.6,0.3,0,0.09,0.99
Cars: Race-O-Rama,Wii,2009,Racing,THQ,0.61,0.3,0,0.09,0.99
Scooby-Doo! First Frights,Wii,2009,Action,Warner Bros. Interactive Entertainment,0.88,0.05,0,0.07,0.99
WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,0.38,0.5,0,0.11,0.99
FIFA Soccer 10,Wii,2009,Sports,Electronic Arts,0.23,0.65,0,0.11,0.99
Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.49,0.26,0.16,0.08,0.98
de Blob,Wii,2008,Platform,THQ,0.5,0.37,0,0.1,0.97
Club Penguin: Game Day!,Wii,2010,Sports,Disney Interactive Studios,0.56,0.33,0,0.08,0.97
LEGO The Lord of the Rings,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.52,0.37,0,0.08,0.97
Dragon Quest X,Wii,2012,Role-Playing,Square Enix,0,0,0.96,0,0.96
Cars 2,Wii,2011,Racing,Disney Interactive Studios,0.46,0.39,0,0.1,0.95
Guitar Hero: Metallica,Wii,2009,Misc,Activision,0.41,0.43,0,0.1,0.95
Tony Hawk: RIDE,Wii,2009,Sports,Activision,0.7,0.17,0,0.08,0.95
Wii Play: Motion,Wii,2011,Misc,Nintendo,0.24,0.43,0.18,0.09,0.95
Cars,Wii,2006,Racing,THQ,0.83,0.04,0,0.07,0.94
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.48,0.3,0.08,0.08,0.94
Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,0.78,0.09,0,0.06,0.93
EA Sports Grand Slam Tennis,Wii,2009,Sports,Electronic Arts,0.29,0.52,0.02,0.11,0.93
Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,0.5,0.32,0.02,0.1,0.93
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93
Kung Fu Panda,Wii,2008,Action,Activision,0.5,0.32,0,0.09,0.92
AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,0.85,0,0,0.07,0.91
Rhythm Heaven,Wii,N/A,Misc,Unknown,0.13,0,0.77,0.01,0.9
We Ski & Snowboard,Wii,2008,Sports,Atari,0.38,0.29,0.15,0.08,0.9
Samba De Amigo,Wii,2008,Misc,Sega,0.42,0.37,0.01,0.1,0.9
FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.29,0.52,0,0.09,0.9
Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.82,0.01,0,0.07,0.89
CSI: Hard Evidence,Wii,2008,Adventure,Ubisoft,0.36,0.43,0,0.1,0.89
F1 2009,Wii,2009,Racing,Codemasters,0.15,0.63,0,0.11,0.89
Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.81,0,0.01,0.07,0.89
Wii Fit U,WiiU,2013,Sports,Nintendo,0.39,0.24,0.21,0.06,0.89
Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.6,0.21,0,0.08,0.89
Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.6,0.21,0,0.08,0.88
Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,0.47,0.22,0.12,0.07,0.88
Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.28,0.01,0.08,0.88
Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft,0.71,0.11,0,0.06,0.87
Pictionary,Wii,2010,Puzzle,THQ,0.61,0.19,0,0.07,0.87
The House of the Dead: Overkill,Wii,2009,Shooter,Sega,0.46,0.31,0.02,0.09,0.87
Tomb Raider: Anniversary,Wii,2007,Action,Eidos Interactive,0.12,0.63,0,0.11,0.86
Need for Speed: Nitro,Wii,2009,Racing,Electronic Arts,0.46,0.31,0,0.08,0.85
Madden NFL 09 All-Play,Wii,2008,Sports,Electronic Arts,0.78,0.01,0,0.07,0.85
Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,0.74,0.04,0,0.06,0.85
Karaoke Revolution Glee,Wii,2010,Misc,Konami Digital Entertainment,0.52,0.25,0,0.07,0.85
Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84
Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,Rising Star Games,0.69,0.03,0.06,0.06,0.84
WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,THQ,0.44,0.31,0,0.08,0.83
The Price is Right,Wii,2008,Misc,Ubisoft,0.77,0,0,0.06,0.83
Deca Sports 2,Wii,2009,Sports,Hudson Soft,0.33,0.34,0.09,0.07,0.82
Star Wars The Clone Wars: Republic Heroes,Wii,2009,Action,LucasArts,0.44,0.3,0,0.08,0.82
Hasbro Family Game Night 3,Wii,2010,Misc,Electronic Arts,0.47,0.28,0,0.07,0.82
EA Sports Active NFL Training Camp,Wii,2010,Sports,Electronic Arts,0.77,0,0,0.05,0.81
Ben 10: Alien Force,Wii,2008,Action,Koch Media,0.52,0.21,0,0.07,0.81
MadWorld,Wii,2009,Action,Sega,0.46,0.25,0.02,0.07,0.8
ABBA: You Can Dance,Wii,2011,Misc,Ubisoft,0.19,0.5,0,0.11,0.8
All Star Cheer Squad,Wii,2008,Sports,THQ,0.43,0.29,0,0.08,0.8
Star Wars: The Force Unleashed II,Wii,2010,Action,LucasArts,0.54,0.19,0,0.06,0.8
Mario & Sonic at the Sochi 2014 Olympic Winter Games,WiiU,2013,Sports,Nintendo,0.39,0.22,0.13,0.06,0.8
Ghost Squad,Wii,2007,Shooter,Sega,0.42,0.21,0.08,0.07,0.79
FIFA 12,Wii,2011,Sports,Electronic Arts,0.16,0.52,0,0.11,0.79
PokePark 2: Wonders Beyond,Wii,2011,Action,Nintendo,0.27,0.2,0.27,0.05,0.79
We Sing,Wii,2009,Misc,Nordic Games,0,0.69,0,0.09,0.78
Harry Potter and the Half-Blood Prince,Wii,2009,Action,Electronic Arts,0.28,0.4,0,0.09,0.77
DJ Hero,Wii,2009,Misc,Activision,0.47,0.23,0,0.07,0.77
Raving Rabbids: Travel in Time,Wii,2010,Adventure,Ubisoft,0.22,0.47,0,0.08,0.76
Drawn to Life: The Next Chapter,Wii,2009,Puzzle,THQ,0.29,0.39,0,0.08,0.76
Deer Drive,Wii,2009,Sports,Big Ben Interactive,0.67,0.04,0,0.05,0.76
FIFA 15,Wii,2014,Sports,Electronic Arts,0.24,0.46,0,0.06,0.76
Monopoly Streets,Wii,2010,Misc,Electronic Arts,0.24,0.44,0,0.08,0.76
Harvest Moon: Animal Parade,Wii,2008,Simulation,Rising Star Games,0.6,0.09,0.02,0.05,0.76
WWE SmackDown vs. Raw 2010,Wii,2009,Fighting,THQ,0.51,0.17,0,0.07,0.75
Just Dance 2015,WiiU,2014,Misc,Ubisoft,0.4,0.28,0,0.07,0.75
LEGO Marvel Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74
Madden NFL 11,Wii,N/A,Sports,Unknown,0.7,0,0,0.05,0.74
Namco Museum Remix,Wii,2007,Misc,Atari,0.68,0,0,0.05,0.74
Indiana Jones and the Staff of Kings,Wii,2009,Action,Activision,0.36,0.3,0,0.08,0.74
Madden NFL 10,Wii,2009,Sports,Electronic Arts,0.63,0.04,0,0.06,0.73
Just Dance Wii,Wii,2011,Misc,Nintendo,0,0,0.73,0,0.73
Avatar: The Game,Wii,2009,Action,Ubisoft,0.33,0.32,0,0.08,0.73
FIFA Soccer 13,Wii,2012,Action,Electronic Arts,0.19,0.46,0,0.08,0.72
Monster Hunter Tri,WiiU,2012,Role-Playing,Nintendo,0.26,0.19,0.22,0.04,0.72
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007,Role-Playing,Square Enix,0.18,0.01,0.5,0.02,0.71
LEGO Rock Band,Wii,2009,Misc,Warner Bros. Interactive Entertainment,0.42,0.22,0,0.07,0.71
Skylanders: Trap Team,WiiU,2014,Action,Activision,0.39,0.25,0,0.06,0.7
Disney Tangled,Wii,2010,Action,Disney Interactive Studios,0.47,0.17,0,0.05,0.69
Kirby's Dream Collection: Special Edition,Wii,2012,Action,Nintendo,0.34,0,0.33,0.02,0.68
Bakugan: Battle Brawlers,Wii,2009,Action,Activision,0.6,0.03,0,0.05,0.68
The Last Story,Wii,2011,Role-Playing,Nintendo,0.32,0.13,0.18,0.04,0.68
Rayman Legends,WiiU,2013,Platform,Ubisoft,0.26,0.33,0.03,0.06,0.68
Red Steel,Wii,2006,Shooter,Ubisoft,0.55,0.04,0.04,0.05,0.68
Country Dance,Wii,2011,Misc,Funbox Media,0.59,0.04,0,0.04,0.68
The Biggest Loser: Challenge,Wii,2010,Sports,THQ,0.49,0.13,0,0.05,0.67
Need For Speed: Undercover,Wii,2008,Racing,Electronic Arts,0.27,0.32,0,0.07,0.67
Taiko no Tatsujin Wii,Wii,2008,Misc,Namco Bandai Games,0,0,0.67,0,0.67
Summer Sports: Paradise Island (Others sales),Wii,2008,Sports,Ubisoft,0,0.66,0,0.01,0.67
TV Show King Party,Wii,2008,Puzzle,Ubisoft,0.18,0.41,0,0.08,0.67
007: Quantum of Solace,Wii,2008,Action,Activision,0.3,0.29,0.01,0.07,0.67
Rock Band 3,Wii,2010,Misc,MTV Games,0.56,0.06,0,0.05,0.67
The LEGO Movie Videogame,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.35,0.23,0.03,0.06,0.66
Puzzler Brain Games,Wii,2012,Puzzle,Namco Bandai Games,0,0,0.66,0,0.66
New Play Control! Pikmin,Wii,2008,Strategy,Nintendo,0.29,0.14,0.19,0.04,0.66
Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014,Action,Disney Interactive Studios,0.38,0.22,0,0.06,0.65
